eps_act_pct,d_act_mm,dL_pct,dR_pct
25.5467,11.7,14.492255229326535,15.608032065077893
2.5,25.43,1.1422658802500374,0.9877317446007918
26.25,9.98,14.59646785269455,17.038372594363658
7.5617,25.37,4.664950417425118,4.602444369854088
10.0,36.0,6.207137064587376,6.247795241641517
14.2183,26.89,8.574161351863307,8.330207119868897
12.5,1.07,-13.43126759975436,7.45894249990201
8.75,15.23,4.263764081073385,4.962176145494454
18.75,1.57,-5.398618342168571,11.554893583663231
20.8183,4.11,3.2204011256323106,12.342290757596698
1.61,10.18,-2.1821508167631065,0.9576085454222363
16.25,22.04,9.936812776242299,9.84988045310234
16.25,9.43,7.156137321076073,10.00666326970564
11.25,20.61,6.487519403526831,6.914122212205543
17.5,9.21,7.9298984233668435,10.469172578685376
9.3067,17.77,5.174197372340905,5.956917487709045
8.75,22.13,5.018739264966854,5.33061576451221
28.75,18.5,18.88607940888607,18.76298357699996
10.0,11.11,3.673000484648714,6.420256339905146
12.5,5.81,1.853137756411516,7.455022929486928
25.115,19.29,15.902769326083677,15.608032065077893
17.235,20.81,10.1154071594155,10.13485497660276
16.25,1.0,-11.049830204839173,9.95962842472465
14.1983,31.44,8.29290114852137,8.113017552865916
26.25,25.3,17.304001108033205,16.967820326892173
16.87,29.93,10.98870057094048,10.703496752028748
13.7233,25.37,8.608178020297563,8.365747230833021
26.25,12.1,15.790160601226555,16.458276172931445
18.75,26.49,11.905400525132691,11.547054442833065
5.89,4.11,-7.306403529576233,3.105810808142634
0.0,11.7,-2.60273262904539,-0.12044148715619879
16.25,27.97,10.237594943188387,9.892995727668248
22.5,1.0,-6.5475775873117374,14.094775212636696
11.25,6.54,0.930091814995393,6.655430564810097
30.0,17.77,19.119858958070957,18.62104369459198
5.0,18.98,2.322045953594243,2.92399952965155
17.5,18.7,10.527432003618609,10.853290479363462
11.4483,5.62,0.017544731966823157,6.7032598179556535
13.13,13.22,6.92665023416319,8.199893379667108
8.9433,25.37,5.55303168763277,5.396173514719529
16.25,36.0,10.312978484856528,9.916513150158742
17.5,16.44,10.302783841240593,10.919923176419864
21.515,25.37,13.330752299258709,12.92672813789563
10.485,25.37,6.683514992593209,6.3794499180603
20.0,32.36,12.908916153974804,12.4132795045663
18.75,25.32,11.87726225685244,11.449065182456003
26.25,30.75,17.414016046176826,16.748324383647553
20.8183,4.11,3.463841825266112,12.46075779414378
26.7033,14.74,15.816430918084713,16.156929334412702
21.235,25.37,13.714871965770792,13.321618259719234
22.5,12.25,12.841060823883431,14.294673303805903
18.235,22.33,11.097322428304125,10.987817639741742
13.235,4.11,-1.9374345732424247,7.540426876221691
30.0,20.81,19.54267442368529,18.613145892155508
10.2817,13.22,4.423229241819837,5.751574624360772
30.0,8.66,16.334042752223453,18.703970620174935
0.25,36.0,0.07950324941194964,0.12044148715619879
1.7967,31.44,0.9117026515316873,0.9102217308034041
27.88,5.62,11.503016517107657,17.12835903409876
5.9683,14.74,2.080644209489013,3.1729421288526467
16.25,3.41,-0.8495052777323986,9.681338925253792
14.7967,31.44,9.575451627348075,9.30163681955496
3.3967,16.26,0.6767686033665399,1.6407684561770688
23.505,17.77,14.725162603112608,14.69583588366537
18.0783,20.81,10.893926412100496,10.8298615910123
10.5517,23.85,6.582737422577312,6.778288941102138
15.0,1.0,-11.991686663557111,9.183553482538313
