t_s,ldc_raw,r_raw,teng_raw,xa_mm,z_mm,dL_pct,dR_pct,eps_pred_pct,d_pred_mm,eps_act_pct,d_act_mm
656.2116,11852478.0,25667.0,33510.0,0.75,0.0,0.7363,0.7752,3.5585,32.88,1.25,36.0
656.2433,11852773.0,25742.0,33843.0,0.75,0.0,0.7313,1.0697,3.8444,32.6,1.25,36.0
656.2433,11850968.0,25585.0,34171.0,0.75,0.0,0.762,0.4532,3.2676,9.24,1.25,36.0
656.2433,11851795.0,25656.0,33105.0,0.75,0.0,0.7479,0.732,3.5181,33.63,1.25,36.0
656.2594,11849177.0,25695.0,32976.0,0.75,0.0,0.7925,0.8851,3.663,33.55,1.25,36.0
656.2594,11852994.0,25758.0,33768.0,0.75,0.0,0.7275,1.1325,3.908,32.88,1.25,36.0
656.2594,11851110.0,25758.0,33100.0,0.75,0.0,0.7596,1.1325,3.908,32.59,1.25,36.0
656.291,11853119.0,25663.0,33177.0,0.75,0.0,0.7254,0.7595,3.5437,32.9,1.25,36.0
656.291,11852675.0,25667.0,34174.0,0.75,0.0,0.733,0.7752,3.5585,33.08,1.25,36.0
656.291,11853583.0,25638.0,33435.0,0.75,0.0,0.7175,0.6613,3.453,33.3,1.25,36.0
656.3227,11855047.0,25633.0,33694.0,0.75,0.0,0.6927,0.6417,3.4351,33.39,1.25,36.0
656.3227,11856007.0,25675.0,33543.0,0.75,0.0,0.6764,0.8066,3.588,33.12,1.25,36.0
656.3227,11853154.0,25737.0,34472.0,0.75,0.0,0.7248,1.05,3.8248,32.75,1.25,36.0
656.3548,11853296.0,25723.0,33609.0,0.75,0.0,0.7224,0.9951,3.7702,32.61,1.25,36.0
656.3548,11852381.0,25652.0,32576.0,0.75,0.0,0.738,0.7163,3.5036,33.01,1.25,36.0
656.3548,11852889.0,25651.0,33948.0,0.75,0.0,0.7293,0.7124,3.4999,33.23,1.25,36.0
656.3866,11853226.0,25604.0,34111.0,0.75,0.0,0.7236,0.5278,3.333,33.6,1.25,36.0
656.3866,11852197.0,25585.0,33872.0,0.75,0.0,0.7411,0.4532,3.2676,9.69,1.25,36.0
656.3866,11852617.0,25651.0,34793.0,0.75,0.0,0.734,0.7124,3.4999,33.59,1.25,36.0
656.4183,11853680.0,25700.0,33827.0,0.75,0.0,0.7159,0.9048,3.6819,33.24,1.25,36.0
656.4183,11852627.0,25677.0,34314.0,0.75,0.0,0.7338,0.8145,3.5955,33.23,1.25,36.0
656.4183,11854560.0,25632.0,34425.0,0.75,0.0,0.7009,0.6378,3.4316,33.37,1.25,36.0
656.4505,11852366.0,25731.0,34955.0,0.75,0.0,0.7382,1.0265,3.8013,32.99,1.25,36.0
656.4505,11851756.0,25763.0,34011.0,0.75,0.0,0.7486,1.1521,3.928,32.59,1.25,36.0
656.4505,11853453.0,25764.0,34191.0,0.75,0.0,0.7197,1.156,3.932,32.23,1.25,36.0
